Query,Last 28 days Clicks,Previous 28 days Clicks,Last 28 days Impressions,Previous 28 days Impressions,Last 28 days CTR,Previous 28 days CTR,Last 28 days Position,Previous 28 days Position
pods vape,228,223,4447,4625,5.13%,4.82%,4.21,3.48
best vapes 2020,227,53,2381,668,9.53%,7.93%,4.98,7.82
vape kits,226,189,4338,4361,5.21%,4.33%,6.74,7.37
best pod system vape 2019,216,291,1355,1981,15.94%,14.69%,3.93,2.9
best vape pods,208,227,657,609,31.66%,37.27%,1.66,1.39
best salt nic vape,206,157,881,754,23.38%,20.82%,2.74,2.52
vaping products,199,241,2329,2716,8.54%,8.87%,4.81,5.41
best vape mods,197,155,4572,3881,4.31%,3.99%,8.48,8.31
best vape brands,195,77,4687,3045,4.16%,2.53%,4.4,6.67
novo2,195,197,3699,3070,5.27%,6.42%,5.54,5.37
smok nord kit,194,181,8033,8398,2.42%,2.16%,7.97,7.6
nord vs nord 2,194,0,417,0,46.52%,0%,3.55,0
pod mod terbaik,187,394,2923,4554,6.4%,8.65%,9.61,7.31
ohms too high,182,189,898,794,20.27%,23.8%,1.41,1.61
smok morph,181,164,7123,6790,2.54%,2.42%,6.23,6.23
suorin,178,166,28581,22000,0.62%,0.75%,6.44,6.28
novo 2 price,173,287,2196,1930,7.88%,14.87%,3.34,2.91
vape mod,172,168,14050,13165,1.22%,1.28%,9.7,9.8
best pod vapes 2020,172,56,358,134,48.04%,41.79%,1.35,3.07
vape pen price,171,131,2153,2011,7.94%,6.51%,3.5,5.36
vapeshop,170,169,9577,9244,1.78%,1.83%,7.72,8.23
best nic salt device,169,173,541,711,31.24%,24.33%,2.28,2.79
pen vape,167,151,5972,5251,2.8%,2.88%,4.72,4.12
best salt nic juice,167,20,3401,923,4.91%,2.17%,5.1,10.96
nord 2,165,0,17307,0,0.95%,0%,8.65,0
best pod systems,165,232,645,699,25.58%,33.19%,2.59,2.74
drag nano,162,134,6451,5323,2.51%,2.52%,4.15,3.7
rba vape,162,193,2206,2293,7.34%,8.42%,3.27,3.82
